Sample in Buffer	Sample in Window	adc_data_ch0
536	536	1879	
537	537	-1514	
538	538	-2185	
539	539	1117	
540	540	2560	
541	541	-220	
542	542	-2552	
543	543	-267	
544	544	2556	
545	545	1123	
546	546	-2150	
547	547	-1560	
548	548	1895	
549	549	2172	
550	550	-1118	
551	551	-2393	
552	552	671	
553	553	2637	
554	554	241	
555	555	-2501	
556	556	-725	
557	557	2410	
558	558	1518	
559	559	-1867	
560	560	-1912	
561	561	1529	
562	562	2403	
563	563	-683	
564	564	-2511	
565	565	206	
566	566	2633	
567	567	693	
568	568	-2360	
569	569	-1162	
570	570	2186	
571	571	1873	
572	572	-1511	
573	573	-2188	
574	574	1116	
575	575	2557	
576	576	-225	
577	577	-2552	
578	578	-264	
579	579	2557	
580	580	1119	
581	581	-2151	
582	582	-1566	
583	583	1891	
584	584	2169	
585	585	-1118	
586	586	-2393	
587	587	671	
588	588	2638	
589	589	241	
590	590	-2503	
591	591	-735	
592	592	2411	
593	593	1522	
594	594	-1864	
595	595	-1910	
596	596	1533	
597	597	2406	
598	598	-678	
599	599	-2510	
600	600	209	
601	601	2633	
602	602	689	
603	603	-2370	
604	604	-1168	
605	605	2189	
606	606	1871	
607	607	-1518	
608	608	-2189	
609	609	1123	
610	610	2552	
611	611	-222	
612	612	-2550	
613	613	-267	
614	614	2556	
615	615	1128	
616	616	-2155	
617	617	-1562	
618	618	1889	
619	619	2172	
620	620	-1118	
621	621	-2391	
622	622	673	
623	623	2634	
624	624	236	
625	625	-2498	
626	626	-729	
627	627	2413	
628	628	1519	
629	629	-1869	
630	630	-1907	
631	631	1530	
632	632	2402	
633	633	-678	
634	634	-2515	
635	635	201	
636	636	2632	
637	637	693	
638	638	-2359	
639	639	-1172	
640	640	2189	
641	641	1877	
642	642	-1512	
643	643	-2182	
644	644	1115	
645	645	2560	
646	646	-222	
647	647	-2545	
648	648	-265	
649	649	2560	
650	650	1122	
651	651	-2154	
652	652	-1559	
653	653	1893	
654	654	2173	
655	655	-1114	
656	656	-2396	
657	657	674	
658	658	2639	
659	659	238	
660	660	-2497	
661	661	-729	
662	662	2410	
663	663	1520	
664	664	-1867	
665	665	-1913	
666	666	1533	
667	667	2397	
668	668	-680	
669	669	-2515	
670	670	198	
671	671	2632	
672	672	690	
673	673	-2365	
674	674	-1173	
675	675	2187	
676	676	1876	
677	677	-1516	
678	678	-2195	
679	679	1126	
680	680	2555	
681	681	-225	
682	682	-2554	
683	683	-268	
684	684	2558	
685	685	1124	
686	686	-2151	
687	687	-1562	
688	688	1889	
689	689	2171	
690	690	-1116	
691	691	-2390	
692	692	672	
693	693	2636	
694	694	243	
695	695	-2493	
696	696	-728	
697	697	2413	
698	698	1523	
699	699	-1862	
700	700	-1913	
701	701	1528	
702	702	2401	
703	703	-682	
704	704	-2514	
705	705	204	
706	706	2636	
707	707	697	
708	708	-2366	
709	709	-1168	
710	710	2190	
711	711	1874	
712	712	-1510	
713	713	-2188	
714	714	1121	
715	715	2549	
716	716	-219	
717	717	-2550	
718	718	-274	
719	719	2557	
720	720	1127	
721	721	-2150	
722	722	-1567	
723	723	1891	
724	724	2175	
725	725	-1116	
726	726	-2387	
727	727	675	
728	728	2637	
729	729	233	
730	730	-2500	
731	731	-731	
732	732	2415	
733	733	1522	
734	734	-1869	
735	735	-1910	
736	736	1533	
737	737	2408	
738	738	-679	
739	739	-2512	
740	740	208	
741	741	2636	
742	742	695	
743	743	-2373	
744	744	-1168	
745	745	2186	
746	746	1872	
747	747	-1511	
748	748	-2183	
749	749	1124	
750	750	2552	
751	751	-226	
752	752	-2548	
753	753	-267	
754	754	2560	
755	755	1127	
756	756	-2146	
757	757	-1569	
758	758	1889	
759	759	2175	
760	760	-1114	
761	761	-2388	
762	762	675	
763	763	2631	
764	764	231	
765	765	-2503	
766	766	-734	
767	767	2407	
768	768	1527	
769	769	-1862	
770	770	-1909	
771	771	1527	
772	772	2396	
773	773	-679	
774	774	-2510	
775	775	197	
776	776	2627	
777	777	689	
778	778	-2370	
779	779	-1171	
780	780	2181	
781	781	1873	
782	782	-1513	
783	783	-2189	
784	784	1122	
785	785	2555	
786	786	-223	
787	787	-2553	
788	788	-269	
789	789	2553	
790	790	1125	
791	791	-2154	
792	792	-1563	
793	793	1887	
794	794	2169	
795	795	-1123	
796	796	-2387	
797	797	676	
798	798	2631	
799	799	239	
800	800	-2502	
801	801	-730	
802	802	2409	
803	803	1517	
804	804	-1871	
805	805	-1908	
806	806	1528	
807	807	2400	
808	808	-680	
809	809	-2513	
810	810	209	
811	811	2631	
812	812	690	
813	813	-2365	
814	814	-1174	
815	815	2184	
816	816	1875	
817	817	-1512	
818	818	-2189	
819	819	1116	
820	820	2554	
821	821	-219	
822	822	-2553	
823	823	-271	
824	824	2556	
825	825	1122	
826	826	-2155	
827	827	-1568	
828	828	1891	
829	829	2166	
830	830	-1108	
831	831	-2392	
832	832	672	
833	833	2630	
834	834	237	
835	835	-2498	
836	836	-735	
837	837	2412	
838	838	1516	
839	839	-1866	
840	840	-1911	
841	841	1535	
842	842	2402	
843	843	-683	
844	844	-2516	
845	845	199	
846	846	2635	
847	847	693	
848	848	-2368	
849	849	-1173	
850	850	2189	
851	851	1874	
852	852	-1518	
853	853	-2187	
854	854	1116	
855	855	2560	
856	856	-225	
857	857	-2553	
858	858	-269	
859	859	2557	
860	860	1120	
861	861	-2151	
862	862	-1567	
863	863	1896	
864	864	2169	
865	865	-1121	
866	866	-2391	
867	867	670	
868	868	2638	
869	869	235	
870	870	-2499	
871	871	-732	
872	872	2412	
873	873	1520	
874	874	-1869	
875	875	-1914	
876	876	1525	
877	877	2396	
878	878	-676	
879	879	-2510	
880	880	207	
881	881	2635	
882	882	690	
883	883	-2363	
884	884	-1171	
885	885	2189	
886	886	1871	
887	887	-1516	
888	888	-2190	
889	889	1121	
890	890	2549	
891	891	-223	
892	892	-2553	
893	893	-264	
894	894	2561	
895	895	1122	
896	896	-2152	
897	897	-1568	
898	898	1884	
899	899	2166	
900	900	-1112	
901	901	-2394	
902	902	668	
903	903	2626	
904	904	240	
905	905	-2499	
906	906	-732	
907	907	2410	
908	908	1522	
909	909	-1864	
910	910	-1910	
911	911	1530	
912	912	2402	
913	913	-676	
914	914	-2511	
915	915	215	
916	916	2629	
917	917	700	
918	918	-2362	
919	919	-1168	
920	920	2187	
921	921	1875	
922	922	-1513	
923	923	-2186	
924	924	1119	
925	925	2554	
926	926	-219	
927	927	-2556	
928	928	-265	
929	929	2556	
930	930	1123	
931	931	-2150	
932	932	-1563	
933	933	1892	
934	934	2165	
935	935	-1107	
936	936	-2392	
937	937	671	
938	938	2630	
939	939	240	
940	940	-2500	
941	941	-736	
942	942	2408	
943	943	1517	
944	944	-1867	
945	945	-1911	
946	946	1537	
947	947	2401	
948	948	-683	
949	949	-2513	
950	950	207	
951	951	2633	
952	952	692	
953	953	-2363	
954	954	-1171	
955	955	2190	
956	956	1873	
957	957	-1519	
958	958	-2191	
959	959	1118	
960	960	2551	
961	961	-222	
962	962	-2553	
963	963	-271	
964	964	2559	
965	965	1127	
966	966	-2149	
967	967	-1564	
968	968	1890	
969	969	2167	
970	970	-1112	
971	971	-2393	
972	972	673	
973	973	2630	
974	974	243	
975	975	-2495	
976	976	-730	
977	977	2409	
978	978	1526	
979	979	-1864	
980	980	-1905	
981	981	1531	
982	982	2400	
983	983	-678	
984	984	-2512	
985	985	212	
986	986	2636	
987	987	692	
988	988	-2364	
989	989	-1162	
990	990	2189	
991	991	1876	
992	992	-1510	
993	993	-2187	
994	994	1120	
995	995	2553	
996	996	-226	
997	997	-2553	
998	998	-271	
999	999	2553	
1000	1000	1125	
1001	1001	-2153	
1002	1002	-1568	
1003	1003	1894	
1004	1004	2172	
1005	1005	-1111	
1006	1006	-2393	
1007	1007	677	
1008	1008	2630	
1009	1009	241	
1010	1010	-2500	
1011	1011	-728	
1012	1012	2410	
1013	1013	1519	
1014	1014	-1868	
1015	1015	-1912	
1016	1016	1529	
1017	1017	2402	
1018	1018	-679	
1019	1019	-2517	
1020	1020	203	
1021	1021	2633	
1022	1022	695	
1023	1023	-2374	
1024	1024	-1173	
1025	1025	2191	
1026	1026	1875	
1027	1027	-1519	
1028	1028	-2185	
1029	1029	1117	
1030	1030	2556	
1031	1031	-220	
1032	1032	-2550	
1033	1033	-266	
1034	1034	2555	
1035	1035	1121	
1036	1036	-2153	
1037	1037	-1570	
1038	1038	1897	
1039	1039	2170	
1040	1040	-1115	
1041	1041	-2390	
1042	1042	673	
1043	1043	2630	
1044	1044	238	
1045	1045	-2502	
1046	1046	-733	
1047	1047	2412	
1048	1048	1519	
1049	1049	-1874	
1050	1050	-1916	
1051	1051	1528	
1052	1052	2401	
1053	1053	-688	
1054	1054	-2512	
1055	1055	211	
1056	1056	2632	
1057	1057	695	
1058	1058	-2367	
1059	1059	-1172	
1060	1060	2184	
1061	1061	1874	
1062	1062	-1514	
1063	1063	-2188	
1064	1064	1112	
1065	1065	2553	
1066	1066	-224	
1067	1067	-2546	
1068	1068	-270	
1069	1069	2554	
1070	1070	1129	
1071	1071	-2151	
1072	1072	-1564	
1073	1073	1892	
1074	1074	2173	
1075	1075	-1115	
1076	1076	-2388	
1077	1077	675	
1078	1078	2628	
1079	1079	236	
1080	1080	-2499	
1081	1081	-734	
1082	1082	2407	
1083	1083	1521	
1084	1084	-1866	
1085	1085	-1912	
1086	1086	1533	
1087	1087	2402	
1088	1088	-680	
1089	1089	-2516	
1090	1090	206	
1091	1091	2637	
1092	1092	693	
1093	1093	-2363	
1094	1094	-1167	
1095	1095	2188	
1096	1096	1873	
1097	1097	-1514	
1098	1098	-2184	
1099	1099	1113	
1100	1100	2558	
1101	1101	-222	
1102	1102	-2544	
